,forcing function
534,-3.9253338075944195
535,-3.779839062918092
536,-3.4531346668728196
537,-3.1244843363051396
538,-2.924206913202258
539,-2.8121771532312327
540,-2.6026126409091663
541,-2.116985195201879
542,-1.3392280590677395
543,-0.4399147304497111
544,0.36178412221298084
545,0.9956472252989553
546,1.63542763934716
547,2.596887828138206
548,4.093750873910046
549,6.026034033592187
550,7.96994741466892
551,9.403623183628062
552,10.031606108502043
553,9.988542997516744
554,9.773957495254948
555,9.950130567144159
556,10.798383313050445
557,12.15930995025018
558,13.557137506357568
559,14.515373510003096
560,14.845803315748633
561,14.721605209362005
562,14.503334836371454
563,14.45838464638841
564,14.578667240804927
565,14.61730466643796
566,14.300287701980663
567,13.545967111130365
568,12.530700540353799
569,11.562132945586644
570,10.865680194794281
571,10.447041779580154
572,10.125772378263665
573,9.699457647044598
574,9.101182074972218
575,8.42760979839175
576,7.8255861692772575
577,7.341685213488501
578,6.868273067172797
579,6.238046158964977
580,5.391766096329279
581,4.474121038379961
582,3.760280911651263
583,3.4488070143774823
584,3.4730895736500202
585,3.488678644890596
586,3.0747707554002472
587,2.0276148835844943
588,0.5414938572428647
589,-0.863534439877312
590,-1.637131184284399
591,-1.5288470390881503
592,-0.7332512600588273
593,0.24740159059909933
594,0.9286122110823134
595,1.1364119003733364
596,1.0745027624079535
597,1.1337089138465481
598,1.5902362941205803
599,2.40927931283824
600,3.2858128017371047
601,3.8802544592508745
602,4.070321532964559
603,4.037706803491357
604,4.13537211637211
605,4.640886299318547
606,5.576428608844167
607,6.716574008366755
608,7.761447532940998
609,8.535489080577527
610,9.066385782391125
611,9.502426454455629
612,9.954546102927736
613,10.401410761091352
614,10.734188455037922
615,10.894785094578882
616,10.978001500529537
617,11.193391539390724
618,11.69890474218995
619,12.433662518746454
620,13.09623641188494
621,13.314706016684083
622,12.906324674858917
623,12.041216446873912
624,11.176208716239703
625,10.782248731560085
626,11.040601965168104
627,11.716390792287484
628,12.302934136464934
629,12.344596965654604
630,11.720975613579736
631,10.701524752463369
632,9.739898830784046
633,9.15789695085613
634,8.94184169832169
635,8.78901475939982
636,8.36146141322752
637,7.55910359363624
638,6.6162018579390205
639,5.956556077225685
640,5.915434686696831
641,6.525552075511578
642,7.510137903930557
643,8.47366196844437
644,9.144427159264868
645,9.500221323010786
646,9.708052850856213
647,9.950275982591718
648,10.284298298336838
649,10.639386847401035
650,10.932797866073482
651,11.188065630810359
652,11.540118434435474
653,12.112182591995804
654,12.865965846655248
655,13.562625953621161
656,13.893228538471378
657,13.701098370238126
658,13.13141183820546
659,12.57944909756658
660,12.449586613801257
661,12.881274536796926
662,13.636115261872044
663,14.236614922383545
664,14.271556293478824
665,13.661149630296322
666,12.697921233908238
667,11.83424000473176
668,11.36548471006416
669,11.231506180294378
670,11.074650527087574
671,10.510131589070706
672,9.414499197703202
673,8.027129292137724
674,6.794247682136541
675,6.0670873314222264
676,5.865238395325628
677,5.864844008879915
678,5.610295335795906
679,4.795565773708838
680,3.4246711390002558
681,1.7594767071669777
682,0.11827469572643923
683,-1.3152936815109022
684,-2.5419104910297174
685,-3.646379716171936
686,-4.656248081874496
687,-5.489510161441744
688,-6.035582820975057
689,-6.293218618416631
690,-6.433568964315355
691,-6.713118405623141
692,-7.286436172009091
693,-8.062231170784349
694,-8.729049277032393
695,-8.955047242361681
696,-8.629258974195961
697,-7.966383518634885
698,-7.384939030439199
699,-7.23097108928811
700,-7.5378977919687005
701,-7.996627420867256
702,-8.164992859461233
703,-7.773819592294371
704,-6.9135240069936845
705,-5.966174236901016
706,-5.327986687658472
707,-5.117836471047127
708,-5.0797537037746645
709,-4.751630986099555
710,-3.785026141173871
711,-2.1953382779115325
712,-0.3717449875938135
713,1.155755263815398
714,2.0298678045957557
715,2.2512441703606596
716,2.126129687952654
717,2.0354523885448357
718,2.198927601011134
719,2.5909373501079562
720,3.038601114388759
721,3.3970511708263484
722,3.6534915560515704
723,3.886209575619254
724,4.13194087782907
725,4.291506476329394
726,4.169261900529064
727,3.625869186077943
728,2.7210719464414987
729,1.7189402985747941
730,0.9304081947491659
731,0.4992687459989495
732,0.2939276570414315
733,-0.0014048402175257935
734,-0.6496472349789169
735,-1.6474888077662613
736,-2.6988416116352614
737,-3.407408684739408
738,-3.5582483202235884
739,-3.284765688046503
740,-2.9918491100079025
741,-3.0787588495910985
742,-3.6531208059226405
743,-4.441113430626039
744,-4.96508495739069
745,-4.8718151623520916
746,-4.186364944006292
747,-3.315726939185273
748,-2.7986476037192674
749,-2.971075115661577
750,-3.7695018746180837
751,-4.793197345146426
752,-5.566870553922467
753,-5.816151558437639
754,-5.576908729792866
755,-5.0910857526100335
756,-4.594472072603161
757,-4.164394760206411
758,-3.729081238755788
759,-3.2043581786653053
760,-2.625464219751456
761,-2.1555143739462905
762,-1.9616103674280856
763,-2.064316964973207
764,-2.2932620451901973
765,-2.3984305177367546
766,-2.2388811384886504
767,-1.9006651192753112
768,-1.6426516463091492
769,-1.7005590497081964
770,-2.0950694959598337
771,-2.597053966774162
772,-2.890024630576499
773,-2.818327993587367
774,-2.5345364598655062
775,-2.4229743234823315
776,-2.8375850437625556
777,-3.834772587536488
778,-5.097874308140055
779,-6.1218291718821
780,-6.542532310480808
781,-6.387239228563828
782,-6.070250586611684
783,-6.130918066980476
784,-6.887731134428637
785,-8.238507401273909
786,-9.734030669124833
787,-10.865166233963215
788,-11.364060865267577
789,-11.323599402506705
790,-11.076679686879821
791,-10.944596901315336
792,-11.04184416174766
793,-11.263546801103704
794,-11.435513345314433
795,-11.488590463905004
796,-11.514683558222034
797,-11.667517444248425
798,-11.999711734093383
799,-12.37778761348876
800,-12.551155346691674
801,-12.324181951946072
802,-11.694126985736773
803,-10.841676843064885
804,-9.977468605075984
805,-9.165744701465709
806,-8.270481103974014
807,-7.076867882619669
808,-5.500492171969368
809,-3.7174733143517535
810,-2.0974042760233003
811,-0.9669903072803221
812,-0.3682373418808778
813,0.00454538485659637
814,0.622671925936372
815,1.8055761589763
816,3.48374194304943
817,5.213187391113831
818,6.443418722081747
819,6.8648100211952325
820,6.603721054384706
821,6.136367654379512
822,5.9836430511124306
823,6.394462098828483
824,7.224422381897189
825,8.074386011358044
826,8.57435173011068
827,8.608656000477694
828,8.337124504885724
829,8.023162297591613
830,7.816047547508273
831,7.653641732065508
832,7.346941135284344
